X1,X2,X3,X4,Y
3.342,-0.354,7.925,A,37.892
5.032,-0.605,2.842,A,31.875
1.026,-0.221,4.180,C,24.818
3.373,2.510,4.103,B,19.307
1.210,-0.624,9.783,B,20.506
3.526,-0.171,5.488,A,33.594
0.980,0.782,4.386,C,25.337
3.869,-2.096,10.930,B,22.729
1.197,-2.968,5.169,C,3.541
2.415,1.374,4.655,C,24.195
3.645,-1.568,8.167,B,25.811
1.771,2.932,4.678,C,40.122
4.788,1.619,9.708,B,26.654
4.321,0.887,8.018,B,26.395
2.003,2.959,9.625,A,39.643
2.514,-1.442,6.369,C,7.847
4.063,0.176,5.163,A,30.035
1.840,-0.053,4.733,B,16.761
4.920,-1.929,10.745,C,18.278
1.346,-0.055,8.858,A,37.381
4.579,-2.210,9.822,B,26.921
2.152,-0.576,9.408,A,37.934
3.834,1.077,7.088,B,24.772
2.400,1.316,5.081,A,26.184
1.967,2.017,7.299,C,42.704
3.074,-0.654,6.129,A,29.759
3.680,1.195,8.930,B,25.568
1.183,1.710,4.521,C,41.264
0.920,-1.573,3.617,B,14.457
3.595,1.445,7.082,C,31.798
4.089,0.102,6.735,C,24.051
4.105,1.846,8.201,B,24.714
3.098,3.125,6.620,C,43.359
0.797,-2.199,8.347,B,16.422
5.587,2.462,5.592,A,41.532
1.658,2.622,8.855,C,51.178
2.268,0.859,4.664,C,21.208
3.262,0.745,11.487,C,41.877
3.581,2.277,10.425,C,47.041
4.099,1.881,10.612,A,53.075
1.591,1.524,9.664,C,49.941
2.035,1.839,4.706,B,19.098
3.302,2.820,4.151,A,31.440
4.556,1.593,3.268,C,15.802
4.464,-1.632,7.189,B,24.562
2.233,3.128,4.086,A,23.840
2.373,1.198,5.547,C,23.915
2.765,2.533,4.806,C,32.990
4.475,0.777,8.214,C,26.875
4.767,-2.984,4.940,C,-7.384
1.024,2.843,4.520,A,24.440
4.567,-2.162,4.745,B,19.807
1.924,2.893,8.588,A,34.167
0.765,0.909,8.697,B,20.575
4.996,1.208,7.215,C,32.313
3.102,-1.371,10.791,C,25.629
1.661,-1.051,10.612,A,36.826
3.197,-0.916,6.774,B,20.833
4.825,-0.747,11.485,A,57.532
4.704,-1.379,7.509,C,16.156
1.721,0.657,11.151,C,41.190
1.349,2.342,9.498,A,36.062
3.664,-3.379,10.769,B,25.310
2.122,2.395,6.578,C,41.121
4.664,-2.412,5.038,C,-4.751
2.411,2.811,3.231,C,33.460
3.465,1.486,5.199,B,19.315
4.630,1.969,3.862,C,21.633
4.480,2.008,7.642,B,25.317
3.359,2.627,6.790,C,42.322
4.227,0.686,6.688,A,40.199
2.538,2.413,9.899,A,48.893
2.692,-2.776,5.914,B,19.789
3.373,0.610,9.611,B,23.842
1.411,2.762,8.078,C,50.191
4.123,0.904,9.803,C,38.400
1.835,2.659,8.064,B,19.929
4.221,-2.615,10.452,C,14.126
0.631,0.354,8.636,C,35.781
1.551,1.020,4.012,C,26.386
1.428,-2.885,8.434,B,19.762
2.712,-2.812,5.279,B,19.407
2.752,0.005,10.896,C,36.667
3.977,-0.643,10.177,A,48.551
4.031,0.981,4.439,C,19.301
1.637,-2.133,4.216,A,18.076
5.160,1.899,7.870,B,24.333
3.221,2.738,3.177,C,30.808
4.144,-0.878,8.253,C,21.860
3.435,2.401,9.944,C,45.416
4.694,0.626,8.885,B,25.611
4.155,3.228,7.240,C,43.126
4.279,2.174,10.297,B,24.065
3.816,1.439,5.135,C,29.000
4.164,3.108,10.289,A,47.508
1.270,1.380,6.855,A,29.879
4.377,-0.465,11.968,B,30.167
1.967,0.972,9.827,A,39.592
1.417,-1.136,7.440,B,18.628
4.151,1.311,3.932,B,21.240
4.135,-2.704,11.473,C,17.629
2.178,0.203,3.560,C,16.472
2.746,1.828,7.295,A,32.843
1.973,1.061,9.889,A,42.458
2.760,0.479,10.920,B,24.725
2.341,2.486,8.357,C,51.254
1.753,0.789,11.326,B,21.031
2.730,-2.789,8.659,A,35.360
4.428,1.951,4.401,A,33.770
2.076,1.581,7.289,A,38.752
1.205,-0.292,5.958,C,28.061
3.443,-1.479,3.920,A,27.209
2.077,2.569,12.128,C,60.171
2.003,2.464,9.472,B,19.252
1.749,0.436,6.229,C,27.204
3.384,-2.670,11.718,B,28.944
3.095,-0.497,8.570,A,36.067
1.239,2.685,6.449,A,34.037
3.552,-2.467,6.803,C,3.387
